2026/09/18 03:42:14 socat[86] N PTY is /dev/pts/0
2026/09/18 03:42:14 socat[86] N PTY is /dev/pts/1
2026/09/18 03:42:14 socat[86] N starting data transfer loop with FDs [5,5] and [7,7]
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 5) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 13) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 5) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 13) completed
2026/09/18 03:42:15 socat[86] N write(5, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 3) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 68) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 6) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 66) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
2026/09/18 03:42:15 socat[86] N write(7, 0x555bde1e3000, 2) completed
